Wasson,Establishes a new nursing licensure compact
Libla,Raises the tax on motor fuel from 17 cents to 22.9 cents per gallon
Wasson,Modifies regulation of autocycle operators and exempts such operators from using protective headgear
Parson,Designates certain highways and bridges within the state
Dixon,"Creates a sales tax exemption for fitness facilities, gyms, and dance studios"
David Sater,Applies to Congress for the calling of an Article V convention of states to propose certain amendments to the United States Constitution which place limits on the federal government
Jill Schupp,Repeals the death penalty
Riddle,Requires referrals for out of state abortions to be accompanied by specified printed materials
Holsman,Urges Congress to call an Article V Convention for the purpose of proposing amendments to the United States Constitution
Munzlinger,Repeals a section relating to the expiration date of economic subsidies for Missouri qualified fuel ethanol producers
Curls,"Changes the ""Farm-to-School Act"" and program to the ""Farm-to-Table Act"" and program and modifies provisions of such program"
Wallingford,Implements the Streamlined Sales and Use Tax Agreement
Schatz,Requires that municipalities in the St. Louis County sales tax pool receive at least 40% of the revenue generated inside a given municipality
Dixon,Modifies admissibility of chemical test results in intoxication related proceedings
Sater,Delineates procedures to be used by pharmacy benefit managers with regards to maximum allowable cost lists
Dixon,Modifies provisions related to criminal offenses
Pearce,"Designates ""Old Drum"" as the historical dog of the state of Missouri, and designates ""Jim the Wonder Dog"" as Missouri's Wonder Dog"
Schaaf,Requires voter or General Assembly approval before the Regional Convention and Sports Complex Authority extends or issues new bonds obligating the state
Nasheed,Designates the month of September as Suicide Prevention Awareness Month
Cunningham,Creates and funds the Department of Revenue Technology Fund through an administrative fee for notice of lien processing
Onder,Provides that the state shall not require maintenance of licensure or any form of specialty medical board certification to practice medicine and modifies examination requirements for physicians
Dixon,Adopts the Compact for a Balanced Budget
Dixon,Authorizes additional circuit judges for certain circuits when indicated by a judicial performance report and repeals provisions regarding the appointment of a janitor-messenger
Romine,"Suspends state agency activities relating to the Clean Power Plan until a certain stay is lifted, and requires the Department of Natural Resources to submit an extension for submitting a final plan to the EPA upon the Clean Power Plan being upheld in federal court"
Kraus,Requires the Department of Revenue to pay the taxpayers' attorneys' fees in income tax cases when the taxpayer receives a favorable judgement
Dixon,Allows sheriffs and deputies to assist in other counties throughout the state
Brown,Creates requirements for co-payments and notice of insurance coverage for occupational therapy
Brown,Allows qualified motorcycle operators to operate motorcycles and motortricycles without protective headgear under certain conditions
Schaefer,Phases out the St. Louis City earnings tax
Wallingford,Modifies provisions relating to emergency communications services
Richard,Repeals certain provisions relating to products liability civil actions
Sater,Modifies the law relating to initiative petitions
Shalonn Curls,Modifies provisions relating to petitions for the expungement of criminal records
Schaefer,Modifies definitions in the Missouri Human Rights Act
Curls,Urges a commitment to equal rights for people with cognitive disabilities to access technology and information
Schaefer,Establishes the third Monday of June as Ride to Work Day in Missouri
Onder,Modifies the law relating to paper ballots
Brian Munzlinger,Urges the Missouri congressional delegation to support the use of science-based data to assess the impacts and regulation of modern agricultural technologies
Schaaf,Transfers powers of the Missouri Consolidated Health Care Plan Board to the Office of Administration
Onder,Modifies provisions relating to tax increment financing
Richard,Modifies provisions relating to civil actions brought under merchandising practices and products liability provisions of law
Emery,Modifies provisions relating to rate schedules authorized for certain utilities outside of general rate proceedings
Sifton,Creates the Legislative Task Force on Dyslexia
Wasson,Prohibits a health carrier or other insurer that writes vision insurance from requiring an optometrist to provide services or materials at a discount that are not covered and reimbursed under the plan
Parson,Modifies certificate of need requirements for long-term care facilities
Silvey,Provides MO HealthNet reimbursement for behavior assessment and intervention
Walsh,Modifies the law relating to meningococcal vaccines for students enrolled at public institutions of higher education
Onder,Modifies provisions relating to collective bargaining representation for public employees
Schmitt,Modifies provisions relating to the ABLE act
Keaveny,"Allows the circuit court in St. Louis City to collect a fee not to exceed twenty dollars, rather than fifteen, to go toward the law library"
Kraus,"Adds the real property of a vineyard and related buildings to the definition of ""agricultural and horticultural property"" for property tax purposes"
Brown,Designates May as Cystic Fibrosis Awareness Month
Emery,Requires the State Board of Education to develop a simplified annual school report card
Brian Munzlinger,Modifies provisions relating to mine property
Jay Wasson,Enacts new provisions of law relating to the workers' compensation insurance premiums of volunteer fire departments
Wasson,Extends a sunset provision for coverage of early refills of prescription eye drops
Wasson,Modifies provisions of the Missouri Preneed Funeral Contract Act
Riddle,Provides that a person who is injured by a product has 10 years after the sale or lease of the product to bring a suit for damages
Wallingford,Modifies provisions of law relating to child custody orders
Brown,Modifies the process for promulgation of an emergency rule by a state agency
Joseph Keaveny,Modifies provisions pertaining to non-participating manufacturers in the Master Settlement Agreement
Schatz,Modifies the law relating to workers' compensation premium rates
Sifton,Provides licensing and taxation for daily fantasy sports games
Onder,Modifies Supreme Court Rule 52.08 to prohibit political subdivisions from joining certain class actions
Onder,Authorizes telephone companies to elect to have their tangible personal property assessed in accordance with a depreciation schedule
Schatz,Creates a lifetime permit to carry concealed firearms
Parson,Modifies provisions relating to expert witnesses
Brown,Modifies provisions of law relating to MO HealthNet managed care
Sater,"Prohibits abortions performed solely because of a prenatal diagnosis, test, or screening indicating Down Syndrome or the potential of Down Syndrome in an unborn child"
Schmitt,Modifies the gubernatorial appointment process for acting directors and members of boards and commissions
Wallingford,Creates the Silver Alert System to aid in identifying and locating a missing endangered person
Onder,"Modifies provisions relating to abortion, including donation of fetal tissue, tissue reports, physician privileges, and ambulatory surgical center licensing and inspections"
Jason Holsman,Excludes funds designated by taxpayers in an urban district as local early childhood education funds from the local tax revenue calculation used to provide funding to charter schools that have declared themselves as a local educational agency
Wasson,Modifies provisions relating to residential dwelling rentals
Romine,"Subject to appropriations, requires the Department of Elementary and Secondary Education to subsidize the exam fee for those taking the high school equivalency degree exam for the first time"
Riddle,Allows entertainment facilities to sell alcoholic beverages through the use of mobile applications
Dixon,Authorizes the republishing of the Revised Statutes of Missouri
Parson,Applies to Congress for the calling of an Article V convention of states to propose an amendment to the United States Constitution regarding term limits for members of Congress
Schaefer,Adds a statutory aggravating circumstance for murder in the first degree for certain acts of terrorism
Emery,Modifies retirement benefits for newly elected members of the General Assembly and statewide elected officials
Dixon,Allows any single noncharter county judicial circuit to collect a court surcharge to be used towards the maintenance and construction of judicial facilities
Wasson,Modifies provisions of law relating to bidding procedures for county depositaries
Hegeman,Provides that a person who removes an unattended child from a locked car shall not be held liable for damages
Pearce,"Requires the governing board of each public institution of higher education to enter into a memorandum of understanding concerning sexual assault, domestic violence, dating violence, and stalking involving students on and off campus"
Walsh,Urges the Department of Higher Education and Department of Health and Senior Services to encourage the dissemination of information about meningococcal disease and its vaccines
Curls,"Declares November 14, 2016, as Neuroblastoma Cancer Awareness Day"
Parson,Creates regulations for insurance requirements for transportation network companies and transportation network company drivers
Kehoe,Creates a property tax exemption for trails operated through railroad easements
Richard,Establishes the Joint Committee on Capitol Improvements
Munzlinger,Modifies the per barrel fee for the inspection of certain motor fuels
Will Kraus,Allows an individual to deduct income earned through active military duty from their Missouri adjusted gross income
Onder,Prohibits political subdivisions from participating in any action in federal court as either a representative or member of a class to enforce or collect any tax
Munzlinger,Prohibits private nuisance actions from being brought when the property owner has a government issued permit
Emery,Urges the United States Congress to propose the Regulation Freedom Amendment to the U.S. Constitution
Munzlinger,Modifies provisions relating to liability for the use of incompatible motor fuel
Kraus,Creates property tax valuation freeze for the elderly
Schaefer,Establishes the Civil Litigation Funding Act
Jamilah Nasheed,Modifies provisions relating to ratemaking for public utilities
Cunningham,Modifies provisions of law relating to credit union account verification
Mike Kehoe,Modifies provisions relating to multipurpose water resources
Keaveny,Requires public retirement plans to provide certain financial information to participants and modifies the criteria for when a public retirement plan will be deemed delinquent
Walsh,Allows human trafficking victims to participate in the address confidentiality program administered by the Secretary of State
Will Kraus,Adjusts the exemption amount allowed for each dependent based on the Consumer Price Index
Wasson,Modifies provisions relating to construction contracts entered into by political subdivisions
Schupp,"Expresses support for the practice of Falun Dafa, also known as Falun Gong"
Hegeman,Establishes the Missouri Palliative Care and Quality of Life Interdisciplinary Council and the Palliative Care Consumer and Professional Information and Education Program
Curls,Allows the Kansas City Police Department chief of police to appoint a lieutenant colonel to be responsible for homeland security matters
Ron Richard,"Modifies provisions relating to the collateral source rule and provides that parties may introduce evidence of the actual cost, rather than the value, of the medical care rendered"
Ryan Silvey,"Creates the ""Missouri Civics Education Initiative"""
Romine,Establishes several provisions relating to financial assistance for dual enrollment courses
Wallingford,Modifies how fourth class cities may proceed with road improvements
Romine,Modifies composition of the Career and Technical Education Advisory Council and requires said council to establish minimum requirement for a career and technical education certificate
Riddle,Modifies provisions of the Prosecuting Attorneys and Circuit Attorneys' Retirement System and allows political subdivisions to assign operation of a retirement plan to LAGERS
Munzlinger,Repeals the Advisory Council to the Director of the Missouri Agriculture Experiment Station and establishes the Fertilizer Control Board
Dixon,Creates a cause of action for persons who have been deprived of certain rights and modifies the statute specifying when police officers are justified in using force
Sater,Requires the Department of Social Services to contract with a third party to verify eligibility for public assistance programs
Bob Onder,Modifies provisions relating to infection reporting of health care facilities
Munzlinger,Creates new provisions relating to the provision of financial assistance for emergency response
Sater,"Modifies provisions regarding licenses issued by the Board of Pharmacy and covered prescription benefits, delineates procedures for PBMs with regards to MAC lists, and requires health carriers to offer medication synchronization services"
Sater,Authorizes certain MO HealthNet health care provider fees
Romine,Modifies provisions relating to telehealth services
Hegeman,Allows for a connected vehicle technology testing program
"Dohrman, Dean",Requires superintendents and assistant superintendents to be employed by school districts only by written contracts
"Fitzwater, Paul",Specifies that school teacher and employee retirement allowances must not exceed 2.55% of the member's final average salary for each year of service if the member's service is 31 years or more
Dixon,Increases the penalty when a county officer fails to return revised laws received by such officer to the clerk of the circuit court
"Lant, Bill",Establishes the Missouri State Juvenile Justice Advisory Board
Parson,"Condemns California's anti-trade actions relating to eggs, calls on the California legislature to repeal AB 1437, and urges the voters of California to reconsider and repeal Proposition 2"
"Lauer, Jeanie",Changes the laws regarding children in foster care
Riddle,Modifies requirements for the reporting of crimes and domestic violence incidents by law enforcement agencies
"Pike, Patricia",Prohibits the use of powdered alcohol
"Miller, Rocky",Adds a circuit judge to the 26th judicial circuit
"Reiboldt, Bill",Creates a new penalty for persons who leave the scene of an accident when a death has occurred
"Sommer, Chrissy",Changes the laws regarding the school funding formula by adding an additional weight for each gifted student to the calculation of the school district's weighted average daily attendance
"Cookson, Steve",Creates the Missouri State High School Activities Association Interim Committee
"Swan, Kathryn",Establishes the Controlled Substance Abuse Prevention Fund
Keaveny,Creates the Missouri Uniform Powers of Appointment
Riddle,Authorizes legal counsel for the Department of Mental Health to have standing in certain hearings involving a person unable to stand trial due to lack of mental fitness
Schaaf,Authorizes the conveyance of certain state properties
Shalonn Curls,Designates the John Jordan 'Buck' O'Neil Memorial Bridge
Schmitt,"Prohibits the adoption of any tax increment financing from superseding, altering, or reducing sheltered workshop property tax levies"
Curls,Creates procedures for higher education entity participation in Missouri Consolidated Health Care Plan
"Sommer, Chrissy","Specifies continuing education training for school board members, with additional training required for members serving districts with provisional accreditation"
Wallingford,Requires elder abuse investigators to provide specified written materials to alleged perpetrators
"Fitzwater, Paul",Requires the coordinating board of higher education to maintain and publish on its website a list of post-secondary educational institutions meeting certain requirements
Pearce,"Creates the Missouri Science, Technology, Engineering and Mathematics Initiative"
Parson,Removes the expiration of the tax check off for the organ donor program fund
"Higdon, Galen",Requires high schools to offer driver's education courses
"Hubrecht, Tila",Requires the department of elementary and secondary education to offer training on dyslexia to all teachers on an annual basis
Pearce,Modifies the A+ Schools Program by removing the requirement that the student's attendance of public high school occur in the three years immediately prior to graduation
"Davis, Charlie",Prohibits animal rights charitable organizations from soliciting contributions intended for use outside the state or for political purposes
Munzlinger,Allows the Missouri Wine and Grape Board to oversee and provide any professional or legal services on the distribution of wine to effectuate the Board's marketing goals
Hegeman,Provides for reimbursement for emergency medical transportation services under MO HealthNet
Wasson,Allows certain offenses to be prosecuted in the county in which the victim resides or conducts business or where stolen property was located
"Morris, Lynn",Delineates procedures to be used by pharmacy benefits managers with regard to maximum allowable cost lists and requires health carriers to offer medication synchronization services
"Crawford, Sandy",Modifies provisions to the physical taking or attempted physical taking of property owned or in custody of a financial institution
